Hotel_Name,Hotel_Adress,Distance_to_Center,Number_of_Reviews,Customer_Rating,Number_of_Stars,Price,Free_Cancellation,Accommodation_Type
Melissa Suite Otel,"2 Nolu Bostancı, Ortahisar, Trabzon -",Merkeze 2.9 km,21,10.0,0,31.135 TL,No,Standard
Air Suite Hotel,"Ortahisar, Trabzon -",Merkeze 4.8 km,33,8.4,0,12.150 TL,No,Standard
Cephanelik Boutique Hotel,"Ortahisar, Trabzon -",Merkeze 1.4 km,25,7.9,3,29.686 TL,Yes,Breakfast Included
Liva Teras,"Uzungöl, Çaykara, Trabzon -",Unknown,13,9.3,0,29.798 TL,No,Standard
Nova Uzungöl,"Uzungöl, Çaykara, Trabzon -",Unknown,84,8.0,4,27.863 TL,Yes,Standard
Ozkan Hotel,"Çaykara, Trabzon -",Unknown,22,8.4,0,26.387 TL,No,Breakfast Included
My Home Uzungöl,"Uzungöl, Çaykara, Trabzon -",Unknown,18,7.5,4,48.704 TL,Yes,Standard
Sera Nature Hotel & Spa,"Akçaabat, Trabzon -",Unknown,63,9.0,4,30.653 TL,Yes,Breakfast Included
Alya Teras Otel,"Maçka, Trabzon -",Unknown,37,9.8,0,20.647 TL,Yes,Breakfast Included
Cebeci Grand Hotel,"Çarşı, Ortahisar, Trabzon -",Merkeze 0.4 km,277,7.4,3,16.560 TL,No,Breakfast Included
Hancıoğlu Çamburnu Orman Evleri Bungalow & Hotel,"Sürmene, Trabzon -",Unknown,323,8.5,4,31.168 TL,No,Breakfast Included
Park Dedeman Trabzon,"Yomra, Trabzon -",Unknown,96,8.8,4,36.767 TL,Yes,Standard
Alesha Suite Hotel,"Yomra, Trabzon -",Unknown,29,8.7,4,43.200 TL,No,Breakfast Included
Özkan Otel,"Uzungöl, Çaykara, Trabzon -",Unknown,3,4.3,0,23.828 TL,No,Breakfast Included
Sumela Holiday Hotel,"Maçka, Trabzon -",Unknown,19,5.5,3,16.271 TL,No,Breakfast Included
Blue Sea Boutique Hotel,"Ortahisar, Trabzon -",Merkeze 2.1 km,15,5.5,0,25.571 TL,No,Standard
Saylamlar Hotel,"Ortahisar, Trabzon -",Unknown,42,5.7,4,27.220 TL,No,Breakfast Included
Cerrahpasa Suite Hotel,"Çaykara, Trabzon -",Unknown,10,5.8,3,32.967 TL,No,Standard
Karabina Eylül Aparts,"Konaklar, Ortahisar, Trabzon -",Merkeze 4.6 km,12,6.2,0,14.582 TL,No,Standard
Royal Life Exclusive,Trabzon Şehir Merkezi -,Unknown,149,6.4,4,20.923 TL,No,Breakfast Included
The Marine Hotel,"Arsin, Trabzon -",Unknown,3,6.5,3,10.152 TL,No,Breakfast Included
Elif Inan Hotel,"Uzungöl, Çaykara, Trabzon -",Unknown,19,6.6,4,27.487 TL,No,Standard
Nazar Hotel,"İskenderpaşa, Ortahisar, Trabzon -",Merkeze 0.6 km,41,6.6,3,21.766 TL,No,Breakfast Included
